date,price
1989-01-02,48.69
1989-01-03,49.4
1989-01-04,49.64
1989-01-05,50.74
1989-01-06,52.47
1989-01-09,54.04
1989-01-10,52.47
1989-01-11,51.68
1989-01-12,52.16
1989-01-13,53.18
1989-01-16,53.41
1989-01-17,53.18
1989-01-18,52.47
1989-01-19,51.84
1989-01-20,51.37
1989-01-23,51.53
1989-01-24,52.16
1989-01-25,52.55
1989-01-26,53.02
1989-01-27,53.34
1989-01-30,53.73
1989-01-31,54.44
1989-02-01,55.3
1989-02-02,57.5
1989-02-03,58.53
1989-02-06,57.11
1989-02-07,57.19
1989-02-08,57.9
1989-02-09,58.37
1989-02-10,58.84
1989-02-13,59
1989-02-14,58.29
1989-02-15,58.37
1989-02-16,58.37
1989-02-17,59
1989-02-20,59.71
1989-02-21,59.94
1989-02-22,60.02
1989-02-23,60.57
1989-02-24,60.89
1989-02-27,61.04
1989-02-28,60.57
1989-03-01,60.42
1989-03-02,61.36
1989-03-03,62.62
1989-03-06,63.48
1989-03-07,64.03
1989-03-08,63.33
1989-03-09,63.48
1989-03-10,63.8
1989-03-13,65.14
1989-03-14,64.03
1989-03-15,61.75
1989-03-16,63.64
1989-03-17,63.8
1989-03-20,63.01
1989-03-21,60.73
1989-03-22,59
1989-03-23,61.44
1989-03-27,62.78
1989-03-28,63.17
1989-03-29,62.93
1989-03-30,63.09
1989-03-31,63.64
1989-04-03,63.8
1989-04-04,63.8
1989-04-05,63.48
1989-04-06,64.03
1989-04-07,64.43
1989-04-10,64.66
1989-04-11,65.84
1989-04-12,66.55
1989-04-13,67.89
1989-04-14,69.78
1989-04-17,71.51
1989-04-18,71.35
1989-04-19,70.25
1989-04-20,69.93
1989-04-21,69.3
1989-04-24,68.91
1989-04-25,68.44
1989-04-26,68.12
1989-04-27,67.18
1989-04-28,68.44
1989-05-02,70.01
1989-05-03,70.25
1989-05-04,70.96
1989-05-05,71.59
1989-05-08,71.66
1989-05-09,73.08
1989-05-10,75.83
1989-05-11,74.97
1989-05-12,74.81
1989-05-15,72.29
1989-05-16,73.24
1989-05-17,74.58
1989-05-18,76.15
1989-05-19,75.83
1989-05-22,75.28
1989-05-23,74.65
1989-05-24,73.63
1989-05-26,71.98
1989-05-29,69.3
1989-05-30,67.81
1989-05-31,70.72
1989-06-01,71.51
1989-06-02,70.25
1989-06-05,67.1
1989-06-06,67.81
1989-06-07,66.94
1989-06-08,65.45
1989-06-09,65.53
1989-06-12,65.45
1989-06-13,64.51
1989-06-14,64.35
1989-06-15,66.24
1989-06-16,66.79
1989-06-19,66.47
1989-06-20,66.24
1989-06-21,66.87
1989-06-22,67.26
1989-06-23,67.42
1989-06-26,66.79
1989-06-27,65.14
1989-06-28,64.66
1989-06-30,64.98
1989-07-03,64.74
1989-07-04,64.66
1989-07-05,65.14
1989-07-06,65.37
1989-07-07,65.53
1989-07-10,65.37
1989-07-11,65.14
1989-07-12,66.47
1989-07-13,65.53
1989-07-14,64.35
1989-07-17,63.33
1989-07-18,61.28
1989-07-19,61.04
1989-07-20,61.44
1989-07-21,61.91
1989-07-24,62.62
1989-07-25,62.93
1989-07-26,63.17
1989-07-27,63.72
1989-07-28,63.72
1989-07-31,63.8
1989-08-01,63.8
1989-08-02,63.48
1989-08-03,63.48
1989-08-04,63.64
1989-08-07,63.64
1989-08-08,63.64
1989-08-09,63.64
1989-08-10,63.8
1989-08-11,63.64
1989-08-14,63.64
1989-08-16,63.72
1989-08-17,63.09
1989-08-18,61.6
1989-08-21,60.65
1989-08-22,59.16
1989-08-23,58.61
1989-08-24,58.84
1989-08-25,59.39
1989-08-28,60.02
1989-08-29,60.42
1989-08-30,59.16
1989-08-31,58.92
1989-09-01,59.16
1989-09-04,59
1989-09-05,58.92
1989-09-06,57.9
1989-09-07,57.9
1989-09-08,57.35
1989-09-12,55.93
1989-09-13,54.12
1989-09-14,55.3
1989-09-15,57.19
1989-09-20,57.5
1989-09-21,56.88
1989-09-22,56.95
1989-09-25,57.35
1989-09-26,58.61
1989-09-27,59.16
1989-09-28,60.65
1989-09-29,62.46
1989-10-02,63.4
1989-10-03,64.51
1989-10-05,64.51
1989-10-06,64.43
1989-10-09,65.69
1989-10-10,66.55
1989-10-11,68.28
1989-10-13,69.62
1989-10-16,68.28
1989-10-17,70.56
1989-10-18,70.72
1989-10-19,71.04
1989-10-20,70.33
1989-10-23,68.91
1989-10-24,67.89
1989-10-25,67.57
1989-10-26,68.83
1989-10-27,68.99
1989-10-30,69.15
1989-10-31,69.46
1989-11-02,67.5
1989-11-03,67.5
1989-11-06,68.2
1989-11-07,68.6
1989-11-08,68.2
1989-11-09,68.44
1989-11-10,70.01
1989-11-13,70.64
1989-11-14,71.9
1989-11-15,73
1989-11-16,73.08
1989-11-17,74.34
1989-11-20,75.36
1989-11-21,73.79
1989-11-22,73.71
1989-11-23,73.55
1989-11-24,72.29
1989-11-27,70.33
1989-11-28,69.23
1989-11-29,68.6
1989-11-30,69.46
1989-12-01,69.54
1989-12-04,70.33
1989-12-05,70.88
1989-12-06,70.72
1989-12-07,68.91
1989-12-11,68.2
1989-12-12,69.3
1989-12-13,69.93
1989-12-15,73.55
1989-12-18,77.17
1989-12-19,77.88
1989-12-20,76.78
1989-12-21,77.01
1989-12-22,77.88
1989-12-26,77.09
1989-12-27,77.17
1989-12-28,78.11
1989-12-29,79.06
1990-01-02,80.02
1990-01-03,83.21
1990-01-04,84.33
1990-01-05,84.38
1990-01-08,82.06
1990-01-09,82.4
