ticker,name,sector,industry,weight,change
NVDA,Nvidia,Information Technology,Semiconductors,7,
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",6.3,
MSFT,Microsoft,Information Technology,Systems Software,4.6,
AVGO,Broadcom,Information Technology,Semiconductors,2.4,
ORCL,Oracle,Information Technology,Application Software,0.7,
MU,Micron Technology,Information Technology,Semiconductors,0.6,
PLTR,Palantir Technologies,Information Technology,Application Software,0.6,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.6,
CSCO,Cisco,Information Technology,Communications Equipment,0.5,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0.5,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,0.4,
IBM,IBM,Information Technology,IT Consulting & Other Services,0.4,
INTC,Intel,Information Technology,Semiconductors,0.4,
KLAC,KLA,Information Technology,Semiconductor Materials & Equipment,0.3,
CRM,Salesforce,Information Technology,Application Software,0.3,
TXN,Texas Instruments,Information Technology,Semiconductors,0.3,
ADI,Analog Devices,Information Technology,Semiconductors,0.3,
APH,Amphenol,Information Technology,Electronic Components,0.3,
ANET,Arista Networks,Information Technology,Communications Equipment,0.3,
QCOM,Qualcomm,Information Technology,Semiconductors,0.2,
APP,AppLovin,Information Technology,Application Software,0.2,
PANW,Palo Alto Networks,Information Technology,Systems Software,0.2,
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.2,
INTU,Intuit,Information Technology,Application Software,0.2,
GLW,Corning,Information Technology,Electronic Components,0.2,
NOW,ServiceNow,Information Technology,Systems Software,0.2,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,
ADBE,Adobe,Information Technology,Application Software,0.2,
CRWD,CrowdStrike,Information Technology,Systems Software,0.2,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,
WDC,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,
CDNS,Cadence Design Systems,Information Technology,Application Software,0.1,
SNPS,Synopsys,Information Technology,Application Software,0.1,
MSI,Motorola Solutions,Information Technology,Communications Equipment,0.1,
FTNT,Fortinet,Information Technology,Systems Software,0.1,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,0.1,
CIEN,Ciena,Information Technology,Communications Equipment,0.1,
ADSK,Autodesk,Information Technology,Application Software,0.1,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0.1,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,0.1,
LITE,Lumentum Holdings,Information Technology,Communications Equipment,0.1,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.1,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,0.1,
"Coherent,","Coherent,",Information Technology,Other,0.1,
DDOG,Datadog,Information Technology,Application Software,0.1,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,0.1,
WDAY,"Workday,",Information Technology,Application Software,0.1,
MCHP,Microchip Technology,Information Technology,Semiconductors,0.1,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0.1,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,0.1,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,0.1,
FICO,Fair Isaac,Information Technology,Application Software,0.04,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,0.04,
Qnity Electronics,Qnity Electronics,Information Technology,Other,0.04,
ON,ON Semiconductor,Information Technology,Semiconductors,0.04,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",0.03,
FSLR,First Solar,Information Technology,Semiconductors,0.03,
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",0.03,
PTC,PTC,Information Technology,Application Software,0.03,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0.03,
FFIV,"F5,",Information Technology,Communications Equipment,0.03,
CDW,CDW,Information Technology,Technology Distributors,0.03,
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,0.03,
TYL,Tyler Technologies,Information Technology,Application Software,0.03,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",0.02,
JKHY,Jack Henry & Associates,Information Technology,Transaction & Payment Processing Services,0.02,
IT,Gartner,Information Technology,IT Consulting & Other Services,0.02,
GEN,Gen Digital,Information Technology,Systems Software,0.02,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0.02,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0.02,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0.01,
