ticker,name,sector,industry,marketCap,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
NVDA,Nvidia,Information Technology,Semiconductors,4911068086272.0,7.117629790429687,0.18841972263623497,7.000757284132808,99.1404399699775,1235.2179224179959,22544.83776496932
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4081770037248.0,5.91572495115894,-1.2467745666598473,7.141847272527113,123.99443041570004,198.5584024289543,778.0487785508745
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4057333760000.0,5.880309360934534,-1.1785504042230444,6.443065328365782,119.45715719138677,194.86322879158894,798.544270551228
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4013268402176.0,5.816445269037546,1.043546864520284,0.8470096438812913,39.22227680412958,110.60785632354224,1025.3827376492093
MSFT,Microsoft,Information Technology,Systems Software,3107254173696.0,4.503355377001938,-1.1163937475598185,-11.400130655742169,14.544190924069799,68.70182715021645,754.7209618273222
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2670065614848.0,3.8697363239104385,-0.9099612075002872,9.615893500793327,43.83871033044149,48.90739657468506,684.4673679432485
AVGO,Broadcom,Information Technology,Semiconductors,1894755205120.0,2.7460759770836725,-1.6997106107321414,15.20290328985736,135.6091207098855,865.984896384521,3307.511704715258
META,Meta Platforms,Communication Services,Interactive Media & Services,1703053492224.0,2.468241950225223,-2.561907626340909,3.240175516551247,34.20335707734728,123.41811232827263,501.47209569983164
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1472829456384.0,2.1345773731552606,-2.026857175416885,-10.402448595503156,62.613418378468054,63.771403773807855,2255.282568499677
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1019829747712.0,1.4780431600555284,0.3294103285845562,13.67730056166996,38.441428432712435,191.1257564755558,561.7456264025246
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1018431275008.0,1.476016348208444,-0.5267815901923489,-4.985411940618823,-8.901803022795395,76.22156883741806,223.14326675756416
JPM,JPMorgan Chase,Financials,Diversified Banks,854932258816.0,1.239056597720132,2.1592643994152727,-1.668481742957928,39.314880207042414,140.96159821894295,543.8351698143147
LLY,Lilly (Eli),Health Care,Pharmaceuticals,823327784960.0,1.1932521126922975,-0.7691234002657255,-14.710337610669244,10.327998612668598,407.2858267765565,1309.453979081895
XOM,ExxonMobil,Energy,Integrated Oil & Gas,613840650240.0,0.8896416058531044,0.8467564966554431,21.21021910590024,42.86772268473089,223.48938553984107,163.02551787698545
V,Visa Inc.,Financials,Transaction & Payment Processing Services,605288726528.0,0.8772472700571574,-0.9715433344907431,-9.204752335219135,-4.041275217743168,45.87002587526106,314.9786972780701
