ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
NVDA,Nvidia,Information Technology,Semiconductors,6.878061,0.0151,6.4293,73.3858,1286.5010,23225.0876
GOOGL,Alphabet Inc. A,Communication Services,Interactive Media & Services,6.620262,-0.6326,22.5303,134.4564,235.0204,986.4040
GOOG,Alphabet Inc. C,Communication Services,Interactive Media & Services,6.547920,-0.9342,21.0668,129.7524,225.1624,1000.3504
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",5.789332,-1.1816,1.9234,35.3964,122.3082,1197.7098
MSFT,Microsoft,Information Technology,Systems Software,4.380791,-0.1979,-14.2790,-4.2486,73.9585,842.6148
AMZN,Amazon,Consumer Discretionary,Broadline Retail,4.171407,1.4128,17.8624,43.1993,64.2878,711.0002
AVGO,Broadcom,Information Technology,Semiconductors,2.811630,-1.1346,20.5934,106.1848,935.5703,3730.3264
META,Meta Platforms,Communication Services,Interactive Media & Services,2.209222,0.2727,-7.4471,2.5618,93.2404,421.0911
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2.101832,0.4324,-12.7212,36.6631,74.8115,2545.4216
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1.481189,-0.9650,17.2224,33.1509,196.7581,594.4822
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1.440808,-0.9492,-6.7900,-13.2049,67.1733,224.8197
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1.234903,0.4775,-9.7829,18.3916,440.6077,1426.8215
JPM,JPMorgan Chase,Financials,Diversified Banks,1.175342,-1.5426,-3.6002,24.2062,124.5211,551.9621
MU,Micron Technology,Information Technology,Semiconductors,0.926877,6.3149,102.0574,615.8447,600.2213,5810.5671
XOM,ExxonMobil,Energy,Integrated Oil & Gas,0.910822,0.6154,28.5644,49.6758,214.4721,170.1812
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0.886246,-0.3597,-6.6112,-5.2658,46.1415,354.9156
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.793948,-5.2699,59.4789,245.6883,334.4740,9387.2227
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.769493,-1.3161,8.9113,47.6087,53.8900,163.0310
ORCL,Oracle Corporation,Information Technology,Application Software,0.739301,4.9235,-6.9325,20.8113,145.6403,432.8633
INTC,Intel,Information Technology,Semiconductors,0.686358,-3.8547,159.5664,364.5005,85.0776,299.0153
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,0.640643,0.1077,17.7778,1.0107,184.8508,692.1678
MA,Mastercard,Financials,Transaction & Payment Processing Services,0.635664,1.8730,-11.3007,-9.2366,38.2334,456.4498
