ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
NVDA,Nvidia,Information Technology,Semiconductors,7,-1.3338,6.7028,96.1148,1214.9315,22200.7856
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",6.3,0.7771,0.2666,38.8552,110.0525,1022.4151
MSFT,Microsoft,Information Technology,Systems Software,4.6,-1.3766,-13.5847,14.2428,68.2579,752.4723
AVGO,Broadcom,Information Technology,Semiconductors,2.4,-1.9728,15.3874,134.9547,863.3017,3298.0467
ORCL,Oracle,Information Technology,Application Software,0.7,-0.0643,-9.6903,37.3836,136.2256,394.3018
MU,Micron Technology,Information Technology,Semiconductors,0.6,-2.7853,55.0684,544.5551,418.5241,4119.5805
PLTR,Palantir Technologies,Information Technology,Application Software,0.6,-1.1886,-18.6217,54.2440,564.1414,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.6,-1.3039,28.2967,214.0116,246.6131,10076.3033
CSCO,Cisco,Information Technology,Communications Equipment,0.5,1.4377,14.8056,60.5161,94.9047,316.1926
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0.5,-0.4283,53.9877,190.1031,220.7502,1991.5939
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,0.4,-0.5194,55.7010,320.5780,358.0479,3597.9023
IBM,IBM,Information Technology,IT Consulting & Other Services,0.4,-0.1381,-14.0599,8.6270,133.9227,175.8364
INTC,Intel,Information Technology,Semiconductors,0.4,-3.9124,78.3740,247.7021,15.4201,157.9897
KLAC,KLA,Information Technology,Semiconductor Materials & Equipment,0.3,0.4580,48.3016,185.8140,494.6844,2825.5993
CRM,Salesforce,Information Technology,Application Software,0.3,1.5839,-29.9808,-24.6114,-17.6428,146.5740
TXN,Texas Instruments,Information Technology,Semiconductors,0.3,1.2009,34.9346,61.6305,44.7672,418.4492
ADI,Analog Devices,Information Technology,Semiconductors,0.3,2.7473,41.1689,119.8207,169.3120,681.9077
APH,Amphenol,Information Technology,Electronic Components,0.3,1.5722,13.7622,137.5057,381.0065,1065.5447
ANET,Arista Networks,Information Technology,Communications Equipment,0.3,1.0930,26.7076,133.1812,758.2043,4053.8700
QCOM,Qualcomm,Information Technology,Semiconductors,0.2,1.3289,-18.7980,3.3541,15.4099,250.1351
APP,AppLovin,Information Technology,Application Software,0.2,-0.2221,-29.3372,99.8741,691.5877,
PANW,Palo Alto Networks,Information Technology,Systems Software,0.2,0.1102,-8.7758,0.2057,180.0583,618.5589
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.2,-0.4149,-26.0160,-29.3459,-26.5846,99.2806
INTU,Intuit,Information Technology,Application Software,0.2,0.5022,-40.0416,-31.9347,0.7944,311.6423
GLW,Corning,Information Technology,Electronic Components,0.2,1.4783,90.8649,307.8140,318.2559,931.9942
NOW,ServiceNow,Information Technology,Systems Software,0.2,2.0174,-35.6290,-36.1467,-8.8261,657.2569
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,3.9939,63.0872,145.5124,335.3978,
ADBE,Adobe,Information Technology,Application Software,0.2,1.1741,-29.3351,-29.0940,-51.9029,156.7425
CRWD,CrowdStrike,Information Technology,Systems Software,0.2,0.5543,-9.0579,13.4924,106.3407,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,-0.2523,115.7995,922.1417,626.2758,1208.1758
WDC,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0.2,-0.2523,115.7995,922.1417,626.2758,1208.1758
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,-1.6358,95.9874,620.1560,664.0721,3183.1284
CDNS,Cadence Design Systems,Information Technology,Application Software,0.1,1.0819,0.5807,20.8189,123.0701,1237.2819
SNPS,Synopsys,Information Technology,Application Software,0.1,1.7594,-2.6037,10.6866,82.8716,841.7249
MSI,Motorola Solutions,Information Technology,Communications Equipment,0.1,1.7241,17.5957,7.9685,157.5327,593.3258
FTNT,Fortinet,Information Technology,Systems Software,0.1,0.8065,3.8912,-14.1787,103.4024,1239.7207
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,0.1,0.6643,9.2410,93.8334,108.4401,382.0301
CIEN,Ciena,Information Technology,Communications Equipment,0.1,-0.7164,115.4167,737.7037,830.0259,2847.8936
ADSK,Autodesk,Information Technology,Application Software,0.1,0.5619,-17.7798,-6.2011,-15.0091,309.7996
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0.1,0.7934,63.6170,184.8172,321.3683,2423.0868
NXPI,NXP Semiconductors,Information Technology,Semiconductors,0.1,1.3818,1.4243,30.7192,23.5488,191.4204
LITE,Lumentum Holdings,Information Technology,Communications Equipment,0.1,-0.5619,141.2019,1609.7039,866.6696,3483.4181
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.1,0.5892,65.5150,148.2725,135.1818,1138.2548
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,0.1,-0.8899,94.8505,431.0769,209.4664,1835.6666
COHR,"Coherent,",Information Technology,Electronic Components,0.1,-0.0290,86.8776,523.8380,355.2198,1486.5686
DDOG,Datadog,Information Technology,Application Software,0.1,0.3159,-6.6034,39.2959,51.2744,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,0.1,-1.0319,-19.0459,-35.1309,-13.3037,113.4070
WDAY,"Workday,",Information Technology,Application Software,0.1,1.3846,-41.5473,-43.1976,-49.7661,64.6271
MCHP,Microchip Technology,Information Technology,Semiconductors,0.1,0.5587,25.0256,111.5364,17.3815,286.7506
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,4.3684,15.6242,86.8765,102.7596,260.6221
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0.1,-0.6525,-26.2531,-10.7329,-17.1883,14.8983
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,0.1,1.5562,26.4318,39.7099,51.7068,610.0560
JBL,Jabil,Information Technology,Electronic Manufacturing Services,0.1,1.8838,43.7826,143.0844,523.2611,1848.7659
FICO,Fair Isaac,Information Technology,Application Software,0.04,-3.2659,-38.5752,-45.5931,98.3308,862.2667
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,0.04,0.5838,13.8816,13.1428,33.2168,212.5650
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,0.04,1.1263,68.9080,,,
ON,ON Semiconductor,Information Technology,Semiconductors,0.04,2.0961,56.5097,144.6594,113.4761,759.5335
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",0.03,1.8272,0.3896,31.3390,59.1046,467.1244
FSLR,First Solar,Information Technology,Semiconductors,0.03,1.2130,-26.2145,50.6095,142.8805,212.2975
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",0.03,0.2767,-9.0734,-12.1168,-28.5063,117.8895
PTC,PTC,Information Technology,Application Software,0.03,0.2648,-19.5741,-2.4032,-1.4628,309.5586
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0.03,1.8250,11.9083,32.9159,-7.3448,90.4428
FFIV,"F5,",Information Technology,Communications Equipment,0.03,-0.1029,21.6603,20.0843,50.0169,219.6274
CDW,CDW,Information Technology,Technology Distributors,0.03,1.4631,0.2978,-8.7600,-19.9617,261.4634
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,0.03,0.1732,-11.4103,19.1997,-12.6039,173.2677
TYL,Tyler Technologies,Information Technology,Application Software,0.03,-0.0788,-24.5864,-39.9614,-23.2662,144.3540
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",0.02,-0.1926,-2.6136,-9.5367,653.5025,918.7633
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0.02,0.1168,-15.1684,-8.9947,0.1935,109.3341
IT,Gartner,Information Technology,IT Consulting & Other Services,0.02,-0.0388,-38.7347,-61.5187,-19.2603,73.0020
GEN,Gen Digital,Information Technology,Systems Software,0.02,0.1988,-25.4594,-16.0196,2.4664,132.0104
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0.02,0.1983,-30.7785,-50.0000,1.2973,177.0645
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0.02,0.1792,-3.2823,3.5814,-52.9886,264.2780
